Players|%Owned|Games|Rush Att|Rush Yds|Rush Tds|Rush 100 yds|Rec|Rec Yds|Rec Tds|
Matt Forte|100|15|277|1233|8|5|63|541|2|
Jamaal Charles|100|15|255|1126|10|4|66|574|3|
LeSean McCoy|100|15|310|1457|11|6|42|340|2|
Montee Ball|100|15|232|1021|8|3|52|458|1|
Eddie Lacy|100|15|263|1124|10|4|46|354|2|
Marshawn Lynch|100|15|272|1120|11|4|26|223|1|
DeMarco Murray|100|14|227|1019|9|3|50|412|1|
Adrian Peterson|100|15|307|1375|10|5|47|376|1|
Giovani Bernard|99|15|243|1020|7|3|48|406|1|
Arian Foster|99|15|275|1155|7|4|43|345|1|
Zac Stacy|99|15|256|1020|8|3|42|350|1|
Le'Veon Bell|99|15|246|976|6|3|49|418|2|
Andre Ellington|99|15|211|979|5|3|45|449|1|
Alfred Morris|99|15|260|1110|9|4|13|106|1|
Doug Martin|98|15|262|1090|7|4|33|318|1|
Reggie Bush|98|14|164|720|3|2|59|507|2|
Frank Gore|97|14|226|916|9|3|16|157|0|
C.J. Spiller|97|15|236|1109|5|4|46|371|1|
Ryan Mathews|97|15|249|1045|6|4|30|241|1|
Toby Gerhart|96|15|258|1139|5|4|35|289|1|
Rashad Jennings|96|14|194|790|5|2|45|351|1|
Chris Johnson|94|15|197|808|4|2|26|209|1|
Shane Vereen|93|14|110|479|5|1|71|704|3|
Joique Bell|93|15|170|731|6|2|50|415|1|
Trent Richardson|92|15|199|738|6|2|30|243|1|
Bishop Sankey|92|15|190|795|5|3|35|297|1|
Ben Tate|89|14|203|870|7|3|17|138|1|
Stevan Ridley|87|15|200|840|7|2|9|73|0|
Maurice Jones-Drew|86|14|145|563|6|1|26|215|1|
Lamar Miller|85|15|235|985|4|3|17|143|1|
Ray Rice|85|13|187|725|7|2|34|282|1|
Steven Jackson|75|14|185|703|6|2|37|305|1|
Pierre Thomas|72|15|130|537|3|1|58|451|2|
Fred Jackson|69|15|135|578|6|1|34|277|1|
Carlos Hyde|64|15|87|357|5|0|7|57|1|
Darren Sproles|61|15|80|356|3|0|50|439|2|
Knowshon Moreno|61|14|148|632|4|1|20|173|0|
Bernard Pierce|59|15|200|780|5|2|22|184|0|
Danny Woodhead|54|15|83|324|2|0|37|315|1|
DeAngelo Williams|51|15|146|623|3|1|20|154|0|
Terrance West|49|15|150|634|5|1|28|230|1|
Mark Ingram|44|15|134|617|4|1|22|180|1|
Devonta Freeman|43|15|96|387|2|0|25|206|1|
Jeremy Hill|43|15|138|569|8|1|7|57|0|
Darren McFadden|40|14|126|489|3|1|20|172|1|
Andre Williams|36|15|110|462|5|0|5|35|0|
Chris Ivory|33|15|175|781|4|2|8|65|0|
LeGarrette Blount|29|15|98|440|5|0|6|46|0|
Christine Michael|25|15|110|499|3|1|7|60|0|
Shonn Greene|22|15|95|400|3|0|8|65|0|
Khiry Robinson|21|15|103|451|3|1|8|65|0|
Jonathan Stewart|19|14|120|535|5|1|16|127|0|
Ahmad Bradshaw|19|14|59|237|2|0|14|114|0|
James White|17|15|102|436|3|1|15|123|0|
Ronnie Hillman|16|14|4|15|0|0|0|0|0|
James Starks|12|15|56|226|2|0|7|57|0|
Donald Brown|11|15|68|286|2|0|10|81|0|
Knile Davis|11|15|83|343|4|0|14|112|1|
Lance Dunbar|9|15|81|342|2|0|25|225|1|
Tre Mason|8|10|12|47|0|0|1|6|0|
Jacquizz Rodgers|8|15|21|84|0|0|15|122|0|
BenJarvus Green-Ellis|7|14|8|30|1|0|1|8|0|
Roy Helu Jr.|7|15|35|145|1|0|29|252|1|
Dexter McCluster|6|15|10|37|0|0|15|140|0|
Bryce Brown|4|15|66|290|2|0|3|26|0|
Andre Brown|3|14|85|349|2|0|11|92|0|
Bobby Rainey|3|14|4|16|0|0|0|0|0|
Robert Turbin|2|15|5|23|0|0|2|12|0|
Chris Polk|2|15|40|168|2|0|5|41|0|
C.J. Anderson|2|15|61|226|1|0|13|101|0|
Ka'Deem Carey|2|15|42|164|2|0|3|24|0|
Matt Asiata|1|14|5|20|0|0|1|5|0|
Jonathan Dwyer|1|15|6|24|0|0|1|6|0|
Stepfan Taylor|1|15|43|159|1|0|9|75|0|
Jerick McKinnon|1|15|12|48|0|0|13|101|0|
Jordan Todman|1|14|29|113|1|0|8|68|0|
Shaun Draughn|0|12|3|10|0|0|0|0|0|
Theo Riddick|0|15|17|60|0|0|18|153|1|
Charles Sims|0|15|68|297|2|0|15|125|0|
Isaiah Crowell|0|15|27|117|1|0|8|62|0